source,target,value
Ned,Rodrik,6
Jory,Theon,3
Lyanna,Theon,7
Joffrey,Mordane,5
Rickon,Stannis,5
Edmure,Mordane,6
Dontos,Mordane,6
Dontos,Jory,6
Jory,Luwin,6
Luwin,Sansa,3
Davos,Lady,6
Joffrey,Lady,1
Davos,Tyrion,3
Lancel,Stannis,3
Renly,Sansa,4
Irri,Sansa,3
Viserys,Xaro,4
Khal,Pyat,5
Qyburn,Roose,17
Roose,Tywin,2
Arya,Tywin,2
Arya,Qyburn,4
Roose,Stannis,3
Joffrey,Rickon,4
Rickon,Syrio,5
Stannis,Syrio,1
Qyburn,Steelshanks,6
Arya,Steelshanks,6
Robett,Sansa,4
Robett,Roose,5
Gendry,Roose,1
Dontos,Varys,5
Cersei,Mace,3
Joffrey,Loras,10
Margaery,Renly,8
Margaery,Randyll,3
Kevan,Randyll,6
Littlefinger,Sansa,12
Kevan,Littlefinger,10
Kevan,Stannis,5
Joffrey,Kevan,4
Dontos,Margaery,3
Dontos,Luwin,5
Black,Rodrik,7
Black,Luwin,16
Ramsay,Theon,2
Littlefinger,Robb,4
Qhorin,Tyrion,2
Bran,Nymeria,4
Jon,Nymeria,5
Jojen,Osha,9
Osha,Rickon,24
Meera,Osha,15
Lyanna,Rickon,4
Lyanna,Osha,2
Black,Osha,3
Osha,Rodrik,1
Bran,Tyrion,1
Aemon,Ned,4
Arya,Bran,6
Jon,Robett,6
Greatjon,Robett,6
Khal,Robin,4
Catelyn,Viserys,1
Catelyn,Yohn,6
Stannis,Yohn,4
Lothar,Robb,9
Arya,Theon,4
Jaime,Kevan,6
